,Mean,Harmonic Mean,Geometric Mean,Variance,Median,Mode,Skewness,Kurtosis,Gini Mean Difference
Channel 1,18.753812566999986,2767.495439336584,2769.920454887199,14720.186781984718,-26.6035,-33.585,1.8173490409358974,6.051129855013073,114.88084954354673
Channel 2,40.84764415565999,2787.283173699011,2790.687692998032,24520.997650193156,2.7997500000000004,-33.585,3.811221797010828,14.556755128092021,102.0624547834926
Channel 3,17.726074307399887,2766.563573523373,2768.910791774158,14988.471597817961,12.4205,-33.585,2.728604121619794,9.87280695876828,103.7707355838427
Channel 4,-28.585968233399996,2718.3269073838082,2721.9123575086073,15634.414978835573,13.9515,-33.585,-3.2270510026208368,11.380205306078278,98.47969821307126
Channel 5,-0.10507529819999943,2750.3484563979187,2751.982878388621,8773.095770879367,-19.872999999999998,-33.585,-0.38567950351424884,2.847337396885888,94.3166953429823
Channel 6,26.61219355139998,2775.3098996463846,2777.6843940743156,16211.034545742252,5.73885,-33.585,3.7374044654775003,14.830338030225885,87.33548193478114
Channel 7,-95.19812221720191,2629.802413266552,2645.4630534964635,58072.69909262071,-1.91675,-33.585,-2.4539618979767375,5.733155602936469,197.63443648530213
Channel 8,-188.0140241531994,1229.0461341331672,2353.5908400720996,412836.44933874323,-88.243,-33.585,-2.417069514002626,5.700950471486033,550.9630532298314
Channel 9,-62.70477148999987,2497.5168700892436,2619.871886173266,264024.68449766195,-91.189,-33.585,-1.135458021878262,5.9270729051931905,462.0996947611719
Channel 10,51.83206215999996,2683.3114205489055,2747.037647291172,348153.6594090318,-77.3985,-33.585,1.6707454979029368,7.684433697220554,500.99542472873105
Channel 11,79.81950905540008,2766.8427238584804,2797.314073521952,257260.3752470695,-49.2945,-33.585,2.824371438716614,10.395207609245949,395.95775271324226
Channel 12,70.54693667699992,2795.475639677707,2808.442111681851,110285.75538392043,-9.3904,-33.585,3.348902191823674,12.053982312556743,247.19027034188946
